suburb,address,property_type,bedrooms,bathrooms,parking,land_size,sold_price,sold_date,listing_url
Highton,"9 Thwaites Close, Highton",House,6,2,2.0,525.0,785000,25 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148736824
Highton,"89 Thornhill Road, Highton",House,3,2,2.0,825.0,1015000,21 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148980004
Highton,"10/104 Colac Road, Highton",Apartment,2,1,1.0,,455000,21 Sep 2025,https://www.realestate.com.au/sold/property-apartment-vic-highton-145744644
Highton,"7 Dunsmore Road, Highton",House,4,2,2.0,699.0,829000,20 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148854628
Highton,"7/145 Barrabool Road, Highton",Unit,1,1,1.0,,328000,19 Sep 2025,https://www.realestate.com.au/sold/property-unit-vic-highton-142467340
Highton,"11 Maus Street, Highton",House,3,2,2.0,664.0,925000,18 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148925944
Highton,"5 Standale Court, Highton",House,5,2,2.0,888.0,1111000,17 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148995244
Highton,"20/102 Colac Road, Highton",Unit,2,1,1.0,,430000,17 Sep 2025,https://www.realestate.com.au/sold/property-unit-vic-highton-148143724
Highton,"127 South Valley Road, Highton",House,3,2,2.0,680.0,791000,16 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148881752
Highton,"1/176 South Valley Road, Highton",Unit,2,1,2.0,253.0,625000,16 Sep 2025,https://www.realestate.com.au/sold/property-unit-vic-highton-148925836
Highton,"1/69 Fryers Road, Highton",Unit,2,1,1.0,98.0,470000,15 Sep 2025,https://www.realestate.com.au/sold/property-unit-vic-highton-148328360
Highton,"69 Buckley Falls Road, Highton",House,5,2,2.0,893.0,1305000,13 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148831860
Highton,"101 Grantham Drive, Highton",House,3,2,4.0,766.0,852000,12 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148625916
Highton,"187B Barrabool Road, Highton",House,3,1,,,660000,11 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148863684
Highton,"1/219A Mount Pleasant Road, Highton",Unit,2,1,1.0,197.0,490000,10 Sep 2025,https://www.realestate.com.au/sold/property-unit-vic-highton-148600772
Highton,"8 Watersedge Terrace, Highton",House,5,2,4.0,1.0,1400000,09 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148736924
Highton,"10 Duggan Court, Highton",House,5,3,4.0,630.0,981000,08 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148651860
Highton,"43 Cara Road, Highton",House,4,2,2.0,685.0,1208000,05 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148175552
Highton,"144 Grantham Drive, Highton",House,4,2,2.0,951.0,1140000,05 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148829064
Highton,"1/4 Burdekin Road, Highton",Unit,2,1,2.0,216.0,610000,02 Sep 2025,https://www.realestate.com.au/sold/property-unit-vic-highton-148806512
Highton,"11 Whitten Court, Highton",House,3,2,2.0,792.0,1070000,30 Aug 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148655728
Highton,"1/69 South Valley Road, Highton",House,2,1,1.0,,642000,28 Aug 2025,https://www.realestate.com.au/sold/property-house-vic-highton-142550524
Highton,"1/50 Barwon Boulevard, Highton",Unit,2,2,2.0,,800000,22 Aug 2025,https://www.realestate.com.au/sold/property-unit-vic-highton-148643156
Highton,"13 Swanbourne Avenue, Highton",House,4,2,2.0,717.0,1100000,21 Aug 2025,https://www.realestate.com.au/sold/property-house-vic-highton-147928844
Highton,"26 Linton Lane, Highton",House,4,2,2.0,725.0,985000,18 Aug 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148571128
Highton,"1 Dunsmore Road, Highton",House,3,2,1.0,708.0,792500,15 Aug 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148687600
Highton,"33 Fogarty Avenue, Highton",House,4,2,2.0,684.0,805000,13 Aug 2025,https://www.realestate.com.au/sold/property-house-vic-highton-147499032
Highton,"4 Clydesdale Way, Highton",House,3,1,2.0,,690000,07 Aug 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148615588
Highton,"4/165 Barrabool Road, Highton",Unit,2,1,1.0,320.0,595000,07 Aug 2025,https://www.realestate.com.au/sold/property-unit-vic-highton-148562376
Highton,"5 Pepperdine Way, Highton",House,4,2,2.0,714.0,976000,05 Aug 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148469336
Highton,"5/9 Elizabeth Street, Highton",Unit,1,1,1.0,,310000,05 Aug 2025,https://www.realestate.com.au/sold/property-unit-vic-highton-148563632
Highton,"6 Badenoch Court, Highton",House,4,3,2.0,854.0,1310000,01 Aug 2025,https://www.realestate.com.au/sold/property-house-vic-highton-147967212
Highton,"35 Larcombe Street, Highton",House,4,2,1.0,432.0,845000,30 Jul 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148484548
Highton,"8 Strickland  Ave, Highton",House,3,2,2.0,589.0,751000,26 Jul 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148400368
Highton,"10 Aitkenside Avenue, Highton",House,4,2,2.0,622.0,1195000,23 Jul 2025,https://www.realestate.com.au/sold/property-house-vic-highton-144091444
Highton,"3 Queens Park Road, Highton",House,4,2,2.0,708.0,1155000,23 Jul 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148318808
Highton,"4 Jewell Place, Highton",House,3,2,2.0,,870000,23 Jul 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148243584
Highton,"138 Barrabool Road, Highton",House,3,1,2.0,743.0,685000,22 Jul 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148224452
Highton,"18 Valencay Avenue, Highton",House,5,3,2.0,680.0,1320000,21 Jul 2025,https://www.realestate.com.au/sold/property-house-vic-highton-147498812
Highton,"9 Annmaree Road, Highton",House,3,2,2.0,,840000,18 Jul 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148173924
Highton,"117/20 Ficinia Mews, Highton",Unit,1,1,1.0,,240000,18 Jul 2025,https://www.realestate.com.au/sold/property-unit-vic-highton-148298860
Highton,"5/21 Glastonbury Drive, Highton",Unit,2,1,1.0,,485000,17 Jul 2025,https://www.realestate.com.au/sold/property-unit-vic-highton-148359980
Highton,"74 South Valley Road, Highton",House,6,3,4.0,631.0,895000,16 Jul 2025,https://www.realestate.com.au/sold/property-house-vic-highton-147544024
Highton,"109 South Valley Road, Highton",House,3,2,2.0,657.0,725000,08 Jul 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148292148
Highton,"1/10 Basin Rise, Highton",Unit,2,1,1.0,275.0,455000,08 Jul 2025,https://www.realestate.com.au/sold/property-unit-vic-highton-147788784
Highton,"22 Crestmoor Drive, Highton",House,3,2,2.0,647.0,767000,04 Jul 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148351224
Highton,"28 Homewood Lane, Highton",House,2,1,2.0,484.0,600000,04 Jul 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148070792
Highton,"34 Lansbury Crescent, Highton",House,5,3,2.0,713.0,1030000,30 Jun 2025,https://www.realestate.com.au/sold/property-house-vic-highton-147603968
Highton,"9 Queens Park Road, Highton",House,3,2,1.0,639.0,1017500,27 Jun 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148051156
Highton,"167 Mount Pleasant Road, Highton",House,3,1,1.0,734.0,715000,27 Jun 2025,https://www.realestate.com.au/sold/property-house-vic-highton-147967848
Highton,"2/7 Cheam Walk, Highton",House,2,1,2.0,334.0,552500,27 Jun 2025,https://www.realestate.com.au/sold/property-house-vic-highton-147858060
Highton,"50 Rivergum Drive, Highton",House,5,3,4.0,937.0,3100000,25 Jun 2025,https://www.realestate.com.au/sold/property-house-vic-highton-146454084
Highton,"57 Dryden Way, Highton",House,3,2,2.0,616.0,820000,25 Jun 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148197332
Highton,"96 South Valley Road, Highton",House,3,1,5.0,1.0,915000,23 Jun 2025,https://www.realestate.com.au/sold/property-house-vic-highton-147583472
Highton,"17 Clifford Street, Highton",House,3,2,2.0,514.0,890000,23 Jun 2025,https://www.realestate.com.au/sold/property-house-vic-highton-147928988
Highton,"7 Northbridge Road, Highton",House,4,2,2.0,357.0,785000,23 Jun 2025,https://www.realestate.com.au/sold/property-house-vic-highton-147811180
Highton,"32 Cara Road, Highton",House,5,2,2.0,876.0,890000,21 Jun 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148153396
Highton,"4-6 Cobb Court, Highton",House,4,2,1.0,526.0,1070000,20 Jun 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148186424
Highton,"23 Thornhill Road, Highton",House,4,2,2.0,666.0,760000,19 Jun 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148072296
Highton,"9 Highpoint Crescent, Highton",House,3,2,2.0,771.0,1045000,18 Jun 2025,https://www.realestate.com.au/sold/property-house-vic-highton-147976936
Highton,"2/11 Carroll Road, Highton",House,4,2,2.0,611.0,1500000,17 Jun 2025,https://www.realestate.com.au/sold/property-house-vic-highton-147952212
Highton,"28 Hewat Drive, Highton",House,5,2,2.0,702.0,930000,17 Jun 2025,https://www.realestate.com.au/sold/property-house-vic-highton-147395736
Highton,"83 Reigate Road, Highton",House,3,1,1.0,734.0,830000,17 Jun 2025,https://www.realestate.com.au/sold/property-house-vic-highton-147999368
Highton,"7 Regal Street, Highton",House,5,2,2.0,300.0,739000,17 Jun 2025,https://www.realestate.com.au/sold/property-house-vic-highton-147637900
Highton,"10 Strickland Avenue, Highton",House,3,1,2.0,590.0,728000,17 Jun 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148150760
Highton,"53 Broughton Drive, Highton",House,2,1,1.0,276.0,562000,17 Jun 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148121256
Highton,"4/25 North Valley Road, Highton",House,2,1,4.0,310.0,470000,17 Jun 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148037000
Highton,"2/10 Barwon Boulevard, Highton",Unit,2,1,1.0,201.0,635000,13 Jun 2025,https://www.realestate.com.au/sold/property-unit-vic-highton-148153796
Highton,"3 Aringa Avenue, Highton",House,3,2,2.0,819.0,980000,12 Jun 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148116396
Highton,"11 Knollbrook Close, Highton",House,3,2,2.0,665.0,915000,11 Jun 2025,https://www.realestate.com.au/sold/property-house-vic-highton-147745284
Highton,"57 Reigate Road, Highton",House,4,1,2.0,724.0,895000,10 Jun 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148012044
Highton,"29 Brassey Avenue, Highton",House,3,1,2.0,807.0,805000,10 Jun 2025,https://www.realestate.com.au/sold/property-house-vic-highton-147661660
